month,reward,gross_return,net_return,spread_cost,impact_cost,sweep_loss,benchmark_ret,active_return,portfolio_value,n_active,cash_weight,turnover,rf_earned
202103,0.0003501301531812842,0.04026185721158981,0.04278913015318128,-0.004070918075740337,0.0015436451341488654,0.0,0.042439,0.0003501301531812842,10427891.301531812,725,0.0013771442,1.9971346855163574,0.0
202104,-0.030218269675970078,0.04908185079693794,0.022206731140613556,0.012937864288687706,0.0002917706778609764,-0.01364548597484827,0.052425,-0.030218269675970078,10659461.0,725,0.001388059,0.0644918829202652,0.0
202105,-0.004739470314234495,0.014515809714794159,0.0007475297898054123,0.006155519746243954,0.00017492353554463002,-0.00743783637881279,0.005487,-0.004739470314234495,10667430.0,725,0.0014380008,0.0519174262881279,0.0
202106,-0.03259865567088127,0.01495015062391758,-0.010384656488895416,0.014042816124856472,0.0004204046088491085,-0.01087158638983965,0.022214,-0.03259865567088127,10556652.0,725,0.0014373963,0.05518657714128494,0.0
202107,-0.0319279283285141,0.009174336679279804,-0.009179928340017796,0.00926362443715334,0.00014358675941385633,-0.008947053924202919,0.022748,-0.0319279283285141,10459742.0,725,0.0014657322,0.061521098017692566,0.0
202108,-0.02424999512732029,0.02480669878423214,0.004740005359053612,0.01025259681046009,0.0002083885944757774,-0.009605707600712776,0.02899,-0.02424999512732029,10509321.0,725,0.0014512212,0.0641181468963623,0.0
202109,-0.015296198427677155,-0.037091173231601715,-0.06286519765853882,0.006720628123730421,0.00020131234085809548,-0.01885208673775196,-0.047569,-0.015296198427677155,9848650.0,725,0.0015771822,0.05548040568828583,0.0
202110,-0.022482845932245255,0.059457506984472275,0.04666115716099739,0.009879418648779392,0.00028671477402764177,-0.002630214672535658,0.069144,-0.022482845932245255,10308199.0,725,0.0014164237,0.06560220569372177,0.0
202111,-0.051584117114543915,-0.030270326882600784,-0.0599181167781353,0.004837842658162117,0.00013580446198554038,-0.02467414364218712,-0.008334,-0.051584117114543915,9690551.0,725,0.0015816457,0.06191419064998627,0.0
202112,-0.008141856640577316,0.04561670650854148,0.03547114506363869,0.008570252917706966,0.00023661561437976622,-0.001338693662546575,0.043613,-0.008141856640577316,10034286.0,725,0.0014708497,0.06694012880325317,1.4708498e-09
202201,-0.03026743233203888,-0.04863487184047699,-0.08285243064165115,0.012324986979365349,0.0002975368133303279,-0.02159503474831581,-0.052585,-0.03026743233203888,9202921.0,725,0.0016536611,0.05949638783931732,0.0
